"NAME","CATEGORY","FORM","ID","DUMB","PACKING","TRADEPRICE","RETIALPRICE","MG","DID","BID"
"SEVENSEAS MVM","27","Syrup","92","13","150ml","243.10","286.00","2mg/5ml ","646","6870"
"SEVENSEAS MVM","27","Syrup","93","13","150ml","243.10","286.00","0.85mg/5ml ","648","6870"
"SEVENSEAS MVM","27","Syrup","94","13","150ml","243.10","286.00","0.7mg/5ml ","710","6870"
"SEVENSEAS MVM","27","Syrup","95","13","150ml","243.10","286.00","0.35mg/5ml ","637","6870"
"SEVENSEAS MVM","27","Syrup","96","13","150ml","243.10","286.00","1.5mg/5ml","723","6870"
"SEVENSEAS LIQ.PLAIN","27","Liquid","97","14","170ml","148.78","175.03","400IU/5ml ","118","21639"
"SEVENSEAS LIQ.PLAIN","27","Liquid","98","14","170ml","148.78","175.03","3500IU/5ml ","646","21639"
"SEVENSEAS LIQ.PLAIN","27","Liquid","99","14","170ml","148.78","175.03","0.5IU/5ml","723","21639"
"VIDA","27","Tabs","100","15","3x10s","106.25","125.00","0","1195","26768"
"AL-FEN","2.1.3","Syrup","101","16","90ml","20.40","24.00","100mg/5ml","373","14275"
"AL-FEN","2.1.3","Tabs","102","17","10x10s","136.00","160.00","200mg","373","14275"
"AL-FEN","2.1.3","Tabs","103","18","25x10s","340.00","400.00","400mg","373","14275"
"AMDOXINE","27","Tabs","104","19","20s","29.07","34.20","50mg","637","12289"
"ESOMEPRAL","17.1.2","Caps","105","20","14s","119.00","140.00","20mg","1685","15532"
"ESOMEPRAL","17.1.2","Caps","106","21","14s","190.40","224.00","40mg","1685","15532"
"ANGLOALKA","29","Syrup","107","22","120ml","13.75","16.20","1.25g/5ml","1206","298"
"ANGLOALKA","29","Syrup","108","23","450ml","34.00","40.00","1.25g/5ml","1206","298"
"CALCIUM C-1000","27","Powder","109","24","10s","43.04","50.64","500mg/sachet ","59","317"
"CALCIUM C-1000","27","Powder","110","24","10s","43.04","50.64","327mg/sachet ","121","317"
"CALCIUM C-1000","27","Powder","111","24","10s","43.04","50.64","1g/sachet ","122","317"
"CALCIUM C-1000","27","Powder","112","24","10s","43.04","50.64","422mg/sachet","1277","317"
"EURONOLKA","29","Syrup","113","25","120ml","13.77","16.20","1.25g/5ml","1206","13413"
"EURONOLKA","29","Syrup","114","26","450ml","34.00","40.00","1.25g/5ml","1206","13413"
"ASCORLET","27","Tabs","115","27","1000s","106.25","125.00","100mg","59","315"
"ASCORLET","27","Tabs","116","28","100s","17.00","20.00","100mg","59","315"
"DOLIPRANE","2.1.2","Tabs","117","29","200’s","","100.00","500mg","550","27301"
"ANGLOVIT","27","Tabs","118","30","1000s","112.20","132.00","15mg ","59","309"
"ANGLOVIT","27","Tabs","119","30","1000s","112.20","132.00","300IU ","117","309"
"ANGLOVIT","27","Tabs","120","30","1000s","112.20","132.00","7.5mg ","511","309"
"ANGLOVIT","27","Tabs","121","30","1000s","112.20","132.00","2500IU ","646","309"
"ANGLOVIT","27","Tabs","122","30","1000s","112.20","132.00","0.5mg ","648","309"
"ANGLOVIT","27","Tabs","123","30","1000s","112.20","132.00","1mg","710","309"
"ANGLOPLEX","27","Tabs","124","31","1000s","57.00","80.00","15mg ","511","307"
"ANGLOPLEX","27","Tabs","125","31","1000s","57.00","80.00","1mg ","648","307"
"ANGLOPLEX","27","Tabs","126","31","1000s","57.00","80.00","1mg","710","307"
"EUROVIT","27","Tabs","127","32","1000s","112.20","132.00","15mg ","59","13424"
"EUROVIT","27","Tabs","128","32","1000s","112.20","132.00","300IU ","117","13424"
"EUROVIT","27","Tabs","129","32","1000s","112.20","132.00","7.5mg ","511","13424"
"EUROVIT","27","Tabs","130","32","1000s","112.20","132.00","2500IU ","646","13424"
"EUROVIT","27","Tabs","131","32","1000s","112.20","132.00","0.5mg ","648","13424"
"EUROVIT","27","Tabs","132","32","1000s","112.20","132.00","1mg","710","13424"
"RINGERS SOLN","27","Inf","133","33","500ml","0.00","24.25","8.6g/L ","662","14305"
"RINGERS SOLN","27","Inf","134","33","500ml","0.00","24.25","0.48g/L ","1418","14305"
"RINGERS SOLN","27","Inf","135","33","500ml","0.00","24.25","0.3g/L","975","14305"
"IRONMIN","27","Syrup","136","34","250ml","51.00","60.00","18mcg/5ml ","203","9322"
"IRONMIN","27","Syrup","137","34","250ml","51.00","60.00","0.5mg/5ml ","323","9322"
